Index,Hotel,Review,polarity,real_fake
1,Le Germain,"Our 'getaway' hotel in our own city. Since its opening, my wife and I have stayed at Le Germain whenever we want to escape without escaping the city. The decor, amenities, location to amazing dining, and the hotel staff themselves will always bring us back!",positive,real
2,Le Germain,"We have stayed at Le Germain over the years when we are in Calgary and the experience has always been wonderful. Great to just drop off the car for valet parking and be able to wander downtown . Everyone we encountered was so friendly and made our stay so effortless .Rooms are really well equipped , beds so comfy and breakfast was yummy !",positive,real
3,Le Germain,"I loved this hotel! I asked to have a hypoallergenic room and that is exactly what I got. Most hotels don't bother, even when they are high priced. In my opinion that alone sets this one apart from all others. The room was lovely, comfortable and felt like home. I slept well. The price was fair. The staff were pleasant. Check-in and check-out were quick and easy. I have nothing but the best things to say about this hotel and I will stay here next time I come to Calgary.",positive,real
4,Le Germain,I had given it 3 stars because of leaking faucets...but now switching to 5 because of the unforgettable experience I had. The ambience and luxury is incomparable to most experiences I've had so far. Reasonable prices. Impeccable rooms. This hotel is on my list next time I decide to visit Calgary.,positive,real
5,Le Germain,"Awesome rooms, extremely helpful staff, and a great location. My stay was excellent and my team meeting ran extremely well. All COVID protocols were in place and we were accommodated in every way we hoped we could be. I would definitely stay at Le Germain Calgary for future trips.",positive,real
6,Le Germain,"By far one of the best hotels to stay in Calgary. The hotel has a chic and modern flair, something a little different from the typical ‘Cowtown vibe’. The rooms are aesthetically pleasing, comfortable beds, modern art pieces, and the hotel lounge is a nice upscale treat if you need to unwind during your stay. The staff have always provided me with impeccable service and room service was great. It’s also in a convenient location.",positive,fake
7,Le Germain,"Where do you go when there is a pandemic and you can’t go on dates? To come here with one of the best steak houses in house room service is how you keep date nights running. Staff was great, rooms are large and quiet. Will definitely stay again.",positive,fake
8,Le Germain,"My room was like a small upscale condominium unit with all the amenities! Modern, beautiful, comfortable and spacious! My dog was provided with a comfy cushion, bowls and treats; a very nice touch! Staff was friendly, very knowledgeable and helpful. Would recommend staying at Le Germain Hotel Calgary to anyone!",positive,real
9,Le Germain,"Best hotel in the city. Bedding and pillows. I bought their royal plus pillow from simons. Great design elements in rooms, all Canadian made furniture, bedding. Centrally located, train station can take you to multiple locations in city from there.",positive,real
10,Le Germain,"Very nice, clean, everything you need in your room, even an umbrella! Loved it, and great service",positive,real
11,Le Germain,"Man at the front desk, I believe his name was Gor, was amazing in helping us during our stay. The hotel was clean, modern, great beds, hall of fame shower, great patio, and amazing location. Our server on the patio was one of the best I’ve ever had. Can’t go wrong with this place.",positive,real
12,Le Germain,"ABSOLUTELY FANTASTIC! Check in was a breeze. The front desk staff were kind and knowledgeable. The bar associate made our experience unforgettable. He welcomed us with such enthusiasm and made sure we were well taken care of. The room was great! Clean, modern, well maintained, and took the time to make our mini honeymoon special! Thank you!",positive,fake
13,Le Germain,"A fantastic hotel! Front desk staff was excellent and VERY accommodating with early check-in’s and late check-out’s due to flight times - a HUGE help to us! Rooms were spacious, clean, and modern. A great stay and would definitely return!",positive,fake
14,Le Germain,This was my first Le Germain experience and I was anticipating my visit as I finalized my move to BC. Bit of a rough start on Friday night with some very loud guests partying at 3 AM (sadly stayed over Stampede). Calls to the front desk to address the issue which they eventually got a handle on after the 3rd call. Rooms were clean and I Iiked the design aesthetic. Would definitely stay again and highly recommend. Shout out to Gor for the warm welcome!,positive,real
15,Le Germain,"This hotel is absolutely beautiful and located infront of the Calgary tower, which is located downtown. Room had unique electronic/technology features. The rooms shower & amenities were amazing. We had free complimentary wine & espresso coffee. We had a mini fridge filled with beverages, a drawer filled with snacks (chips, chocolates, nuts, etc. at a cost).We received room service from charcut roast house restaurant and the food tasted great. We received fast valet service parking, which within 5 minutes of a call to front desk they would bring out the car for you right away. The front desk was friendly and helpful, also helped with our luggages. I would definitely recommend staying at this hotel while your in Calgary, it’s definitely worth it.",positive,fake
16,Le Germain,Was such a gorgeous and fancy hotel room. The staff were lovely and it was such a wonderful stay. If I had to choose a hotel in Calgary again I would pick this place. It was also cool to look out the window and see the Calgary Tower tower right above you.,positive,real
17,Le Germain,"Centrally located, spacious well designed rooms, excellent and attentive staff. 100% will stay here again. Thank you for the excellent hospitality.",positive,real
18,Le Germain,"Great location downtown, very clean hotel with modern decor. Rooms are good size and well equipped. Ours had large windows with good views of downtown. The bed and bedding were very comfortable. We booked through visa infinite luxury hotels …",positive,real
19,Le Germain,Stay here 3 times a year . Well try to! For mini staycations . Love the rooms bed is the best in the city . Food is great . Oh and the shower is amazing ,positive,real
20,Le Germain,Outstanding hotel in an awesome location. And couldn't be happier,positive,real
21,Le Germain,This establishment has it figured out! Great service all around.,positive,real
22,Le Germain,Extremely stylish hotel with top notch customer service. Special thanks to Brahim and Gore for extremely friendly help.,positive,real
23,Le Germain,Gor & Brahim WERE AMAZING to say the least! My husband and I were just blown from the moment we stepped in the door to the time we left. The overall experience was incredible 😃 Made us feel right at home. Safe & very clean!! Thank you so much!! We will be back 100%,positive,real
24,Le Germain,"Great service, great room, great staff, great view definitely will come back!",positive,real
25,Le Germain,"Fantastic stay, room was great as was all the staff! Thank you",positive,real
26,Le Germain,"My husband and I were there on Sep 17, 2021 for 2 nights in a room the classic king. The weather of the room was too cold so I called to reception, more than 3 times someone came to my room for changed whether to hot but he couldn't at the last he brought heater for us. When I turned on the heater, it had loud noise and after a few minutes All electrical appliances in the room were turned off and when I turned off the heater, the weather was too cold. The other things about parking , I had to park in level 3 then I was walking in parking to level 4 for took a elevator, the parking was circle and when the other cars moved up the parking lot they couldn't see us and this is so dangerous. We had so problems in this hotel .In the morning we went to restaurant for breakfast but they said due to corona virus it was closed, we ate breakfast in the out the hotel. Then I backed to hotel the reception said it was open just for dinner, I don't understand the covid19 is just in the morning??? After that we prepared for dinner but I surprised because Someone had booked the whole restaurant privately so we had to go to out of the hotel because this hotel had just 1 main restaurant and this is not fair, I had a bad stay in this hotel and I don't recommend this hotel to any one 😔",negative,real
27,Le Germain,Am reviewing this hotel with much pain. Before lodging I knew I was to be charged a total of $245 as confirmed by the receptionist. I was astonished when I checked my account and realized I had an additional charge of $301 making a total of $546. When I asked they said I was charged for the few bottles of beer I drank from thier fridge. Such hidden feee should be explained ahead of time because this is exploitation. It really hurts.,negative,real
28,Le Germain,"Don't stay here, Marriott across the street 100 x better, room wise and service . Regret booking here. Notluxury at all. Room extremely dark, entire room filled with cheap bed and furnishings. Extremely unconformatable top to bottom, every thing is fake even the outlets. Loud music from the clib next door, not sound proof windows.",negative,fake
29,Le Germain,"The only good thing about this stay was the location. We arrived and they had no records of our reservation and as we were being sent away to go “figure it out” by ourselves which would’ve taken 2 hours at 8:30-9pm at night to get in contact with our bookings agent luckily a manager came to help us. Upgraded our room to a king which was great, but the room itself is so dim with barely any light source. The blinds don’t help as we faced a building so hardly any natural light comes through. Was told our damage deposit return is $200 only received $137 and told we drank two cans from the mini bar which was a lie because we don’t drink pop and the prices are insane. Just seems scammy with all the hidden fees, lies about our damage deposit and mini bar usage. Definitely won’t be returning or using hotels at all for a long time.",negative,real
